x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
7082.3119576496765,0.0,0.8887402403031647,0.11125975969683513,1.866971461288141e-16,3.920640068705096e-17,0.11125975969683528
7083.3119576496765,1.0,0.8869260998030198,0.11307390019697999,1.9040397594402863e-16,3.998483494824601e-17,0.11307390019698015
7084.3119576496765,2.0,0.8851119593028749,0.11488804069712485,1.9411080575924319e-16,4.076326920944107e-17,0.11488804069712501
7085.3119576496765,3.0,0.8832237931515733,0.11677620684842649,1.9807347457391517e-16,4.159542966052219e-17,0.11677620684842664
7086.3119576496765,4.0,0.8811723587391505,0.11882764126084931,2.0260041250227503e-16,4.2546086625477753e-17,0.11882764126084948
7087.3119576496765,5.0,0.8791209243267276,0.12087907567327215,2.071273504306349e-16,4.3496743590433326e-17,0.12087907567327232
7088.3119576496765,6.0,0.8770694899143048,0.12293051008569497,2.1165428835899472e-16,4.444740055538889e-17,0.12293051008569514
7089.3119576496765,7.0,0.8750180555018819,0.12498194449811781,2.1618122628735458e-16,4.539805752034446e-17,0.12498194449811798
7090.3119576496765,8.0,0.8729666210894592,0.12703337891054062,2.2070816421571444e-16,4.634871448530003e-17,0.12703337891054078
7091.3119576496765,9.0,0.8709151866770364,0.12908481332296345,2.2523510214407427e-16,4.7299371450255597e-17,0.12908481332296362
7092.3119576496765,10.0,0.8688637522646135,0.1311362477353863,2.2976204007243413e-16,4.825002841521117e-17,0.13113624773538649
7093.3119576496765,11.0,0.8668123178521907,0.13318768214780913,2.34288978000794e-16,4.9200685380166735e-17,0.13318768214780932
7094.3119576496765,12.0,0.8647608834397679,0.13523911656023194,2.3881591592915385e-16,5.015134234512231e-17,0.13523911656023213
7095.3119576496765,13.0,0.862632366944788,0.13736763305521185,2.43652736843921e-16,5.1167074737223404e-17,0.13736763305521205
7096.3119576496765,14.0,0.8603338410356924,0.13966615896430737,2.4917302430779823e-16,5.232633510463763e-17,0.13966615896430756
7097.3119576496765,15.0,0.8580353151265969,0.14196468487340289,2.546933117716755e-16,5.348559547205185e-17,0.14196468487340308
7098.3119576496765,16.0,0.8557367892175014,0.1442632107824984,2.6021359923555275e-16,5.4644855839466073e-17,0.1442632107824986
7099.3119576496765,17.0,0.8534382633084059,0.14656173669159392,2.6573388669943e-16,5.58041162068803e-17,0.14656173669159414
7100.3119576496765,18.0,0.8511397373993104,0.14886026260068946,2.7125417416330726e-16,5.696337657429452e-17,0.14886026260068969
7101.3119576496765,19.0,0.8488412114902149,0.15115878850978498,2.767744616271845e-16,5.812263694170874e-17,0.1511587885097852
7102.3119576496765,20.0,0.8465426855811192,0.1534573144188805,2.822947490910618e-16,5.928189730912298e-17,0.15345731441888072
7103.3119576496765,21.0,0.8442441596720237,0.15575584032797601,2.878150365549391e-16,6.04411576765372e-17,0.15575584032797624
7104.3119576496765,22.0,0.8419456337629282,0.15805436623707153,2.9333532401881634e-16,6.160041804395142e-17,0.15805436623707175
7105.3119576496765,23.0,0.8395682135649372,0.16043178643506262,2.9923059906037705e-16,6.283842580267917e-17,0.16043178643506287
7106.3119576496765,24.0,0.8370167870169973,0.16298321298300242,3.05952932949698e-16,6.425011591943658e-17,0.16298321298300267
7107.3119576496765,25.0,0.8344653604690575,0.1655346395309422,3.1267526683901887e-16,6.566180603619396e-17,0.16553463953094244
