solver,model_scope,mesh_cells,nx,nz,dt_s,stop_duration_s,local_length_m,diameter_m,nu_m2_s,diffusivity_m2_s,buoyancy_scale,velocity_clip_mps,poisson_iterations,h2_top_mean,h2_bottom_mean,n2_top_mean,n2_bottom_mean,air_top_mean,air_bottom_mean,top_bottom_h2_delta,top_bottom_n2_delta,top_bottom_air_delta,h2_vertical_centroid_m,n2_vertical_centroid_m,air_vertical_centroid_m,h2_air_vertical_separation_m,h2_n2_vertical_separation_m,top_h2_max,bottom_h2_mean,flammable_area_ratio,flammable_volume_ratio,max_speed_mps,mean_speed_mps,species_sum_max_error,case_name,source_case,D_m,note
Python 2D low-Mach buoyant multi-species transport check (vorticity-streamfunction),local x-z shutdown window; not full 3D compressible pipe CFD,3993,121,33,1.0,300.0,1200.0,1.2,0.00015,7.8e-05,0.08,0.4,180,0.1145339028221151,0.09010182900052639,0.7803190716357206,0.8038105698067287,0.10514702554216436,0.10608760119274491,0.024432073821588712,-0.02349149817100815,-0.0009405756505805468,0.040970011084373,-0.005108139423896312,-0.0015432422915721536,0.04251325337594516,0.046078150508269314,0.9510022407384344,0.09010182900052639,0.0,0.0,0.3363928252332663,0.026963521820075234,2.220446049250313e-16,DN1200_u7_p010_stop30_buoyant2d,DN1200_u7_p010_stop30,1.2,"Solved local 2D low-Mach buoyant multi-species transport check. It includes momentum, buoyancy, and H2/N2/Air species transport, but is not a full 3D compressible pipe CFD."
Python 2D low-Mach buoyant multi-species transport check (vorticity-streamfunction),local x-z shutdown window; not full 3D compressible pipe CFD,3993,121,33,1.0,300.0,1200.0,1.2,0.00015,7.8e-05,0.08,0.4,180,0.11400911908981969,0.09668017908009166,0.7781354380927777,0.7948087107679443,0.10785544281740249,0.10851111015196406,0.017328940009728025,-0.016673272675166606,-0.0006556673345615716,0.028354507284265043,-0.0036641576881075045,-0.0010502433366016148,0.029404750620866657,0.032018664972372546,0.8887402403031647,0.09668017908009166,0.0,0.0,0.256070447187377,0.025002239817698533,2.220446049250313e-16,DN1200_u7_p010_stop60_buoyant2d,DN1200_u7_p010_stop60,1.2,"Solved local 2D low-Mach buoyant multi-species transport check. It includes momentum, buoyancy, and H2/N2/Air species transport, but is not a full 3D compressible pipe CFD."
Python 2D low-Mach buoyant multi-species transport check (vorticity-streamfunction),local x-z shutdown window; not full 3D compressible pipe CFD,3993,121,33,1.0,300.0,1200.0,1.2,0.00015,7.8e-05,0.08,0.4,180,0.11506033379004775,0.10026620155661754,0.7748868567766958,0.789124176498849,0.11005280943325653,0.11060962194453342,0.014794132233430207,-0.014237319722153252,-0.0005568125112768857,0.0237144697641909,-0.003149202063631905,-0.0008745151100817611,0.024588984874272662,0.026863671827822806,0.8575108674348958,0.10026620155661754,0.0,0.0,0.22583574497479042,0.024136625593373488,2.220446049250313e-16,DN1200_u7_p010_stop80_buoyant2d,DN1200_u7_p010_stop80,1.2,"Solved local 2D low-Mach buoyant multi-species transport check. It includes momentum, buoyancy, and H2/N2/Air species transport, but is not a full 3D compressible pipe CFD."
