x_m,y_m,z_m,r_m,theta_rad,x_H2,x_N2,x_O2,Y_H2,Y_N2,Y_O2
7.407407407407407,0.07010573846499779,0.009229595564125725,0.07071067811865475,0.1308996938995747,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,0.06532814824381883,0.02705980500730985,0.07071067811865475,0.39269908169872414,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,0.056098552679693096,0.043045933457687945,0.07071067811865475,0.6544984694978736,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,0.043045933457687945,0.056098552679693096,0.07071067811865475,0.916297857297023,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,0.027059805007309853,0.06532814824381883,0.07071067811865475,1.1780972450961724,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,0.009229595564125734,0.07010573846499779,0.07071067811865475,1.4398966328953218,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.009229595564125727,0.07010573846499779,0.07071067811865475,1.7016960206944713,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.02705980500730983,0.06532814824381883,0.07071067811865475,1.9634954084936205,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.043045933457687945,0.056098552679693096,0.07071067811865475,2.2252947962927703,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.05609855267969309,0.04304593345768796,0.07071067811865475,2.4870941840919194,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.06532814824381883,0.027059805007309857,0.07071067811865475,2.748893571891069,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.07010573846499779,0.009229595564125755,0.07071067811865475,3.010692959690218,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.07010573846499779,-0.00922959556412574,0.07071067811865475,3.272492347489368,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.06532814824381883,-0.027059805007309843,0.07071067811865475,3.5342917352885173,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.056098552679693096,-0.043045933457687945,0.07071067811865475,3.796091123087667,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.04304593345768796,-0.05609855267969308,0.07071067811865475,4.057890510886816,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
7.407407407407407,-0.02705980500730983,-0.06532814824381883,0.07071067811865475,4.319689898685966,0.8424175358814747,0.1575824641185248,5.871616748511415e-16,0.2778320886124987,0.7221679113874983,3.0735834714729795e-15
