status,case_name,source_case,source_window,target_solver_family,mesh_type,local_length_m,D_m,sample_points,nx,nr,ntheta,mole_sum_max_error,mass_sum_max_error,x_h2_max,x_o2_max,y_h2_max,y_o2_max,note
prepared_input_not_solved,DN1200_u7_p010_stop30_rhoReacting3D,DN1200_u7_p010_stop30,full_isolation_zone_1200m,OpenFOAM rhoReactingFoam/reactingFoam or Fluent species transport,external circular-pipe 3D mesh required for final solve,1199.9999999999995,1.2,11664,81,6,24,1.1102230246251565e-16,2.220446049250313e-16,0.9402581674346138,0.20122816861344792,0.5310984005896152,0.22345483857157628,Prepared offline 3D multi-species CFD initial package; not solved CFD output.
prepared_input_not_solved,DN1200_u7_p010_stop60_rhoReacting3D,DN1200_u7_p010_stop60,full_isolation_zone_1200m,OpenFOAM rhoReactingFoam/reactingFoam or Fluent species transport,external circular-pipe 3D mesh required for final solve,1199.999999999999,1.2,11664,81,6,24,1.1102230246251565e-16,2.220446049250313e-16,0.8741822859264505,0.18651224418901338,0.3333409638075236,0.2075357875268198,Prepared offline 3D multi-species CFD initial package; not solved CFD output.
prepared_input_not_solved,DN1200_u7_p010_stop80_rhoReacting3D,DN1200_u7_p010_stop80,full_isolation_zone_1200m,OpenFOAM rhoReactingFoam/reactingFoam or Fluent species transport,external circular-pipe 3D mesh required for final solve,1200.0,1.2,11664,81,6,24,2.220446049250313e-16,2.220446049250313e-16,0.8424175358814747,0.1792519881931185,0.2778320886124987,0.19965801668107436,Prepared offline 3D multi-species CFD initial package; not solved CFD output.
