time_s,mixed_length_m,mixed_length_095_m,h2_n2_interface_length_m,n2_air_interface_length_m,flammable_length_m,effective_n2_length_m,h2_front_m,Re_min,Re_max,K_min,K_max,Fr,dp_estimated_Pa,rho_mean_kg_m3,p_mean_Pa
0.0,0.0,0.0,0.0,0.0,0.0,960.0,,551610.0298775892,571311.4472277185,4.200078,4.200078,2.115483852889501,3885.7788658238273,1.2084047343545636,101942.88943291192
25.714285714285715,180.0,120.0,90.0,90.0,0.0,900.0,181.02962928752214,81046.39313062368,570637.5219589352,4.200078,4.200078,2.115483852889501,3834.9536309460395,1.1908868561986392,101917.47681547301
51.42857142857143,240.0,160.0,120.0,120.0,0.0,880.0,361.29364245891014,80969.92638520834,570041.1357697137,4.200078,4.200078,2.115483852889501,3784.114840875669,1.1733949853914138,101892.05742043784
77.14285714285714,280.0,200.0,140.0,140.0,0.0,860.0,541.460548672425,80892.5980726679,569464.2291169323,4.200078,4.200078,2.115483852889501,3733.2620316992447,1.1559287629725588,101866.6310158496
102.85714285714286,320.0,220.0,160.0,160.0,0.0,850.0,721.5794040727282,80815.60465252846,568898.387811726,4.200078,4.200078,2.115483852889501,3682.394717782666,1.1384878147556758,101841.19735889132
128.57142857142858,340.0,240.0,170.0,170.0,0.0,840.0,901.6699967833159,80738.88997617927,568343.9212583264,4.200078,4.200078,2.115483852889501,3631.5123904661773,1.1210717657337135,101815.75619523307
154.28571428571428,380.0,260.0,190.0,190.0,0.0,830.0,1081.742174120288,80663.04152660843,567800.4720829857,4.200078,4.200078,2.115483852889501,3580.6145166627125,1.1036802406298143,101790.30725833135
180.0,400.0,280.0,200.0,200.0,0.0,820.0,1261.8015088187192,80587.77307271217,567265.6034100257,4.200078,4.200078,2.115483852889501,3529.7005373510615,1.0863128640355826,101764.85026867554
205.71428571428572,420.0,300.0,210.0,210.0,0.0,810.0,1441.8514408906644,80513.48845713568,566739.3893477294,4.200078,4.200078,2.115483852889501,3478.769865954347,1.0689692604597605,101739.38493297719
231.42857142857144,440.0,320.0,220.0,220.0,0.0,800.0,1621.8942319074004,80440.15328749138,566224.6727775665,4.200078,4.200078,2.115483852889501,3427.8218865933763,1.0516490543484518,101713.9109432967
257.14285714285717,480.0,340.0,240.0,240.0,0.0,790.0,1801.9314416958302,80367.76557374526,565717.2659073855,4.200078,4.200078,2.115483852889501,3376.8559522032847,1.0343518700941112,101688.42797610164
282.8571428571429,480.0,340.0,240.0,240.0,0.0,790.0,1981.964187503557,80296.34287116483,565220.2050667986,4.200078,4.200078,2.115483852889501,3325.8713825005834,1.017077332039372,101662.93569125028
308.57142857142856,520.0,360.0,260.0,260.0,0.0,780.0,2161.993294432637,80225.91204612232,564731.2732754248,4.200078,4.200078,2.115483852889501,3274.867461786373,0.9998250644782047,101637.43373089319
334.2857142857143,520.0,380.0,260.0,260.0,0.0,770.0,2342.0193874472275,80156.50239658068,564251.8789496423,4.200078,4.200078,2.115483852889501,3223.8434365698386,0.9825946916555368,101611.92171828491
360.0,560.0,380.0,280.0,280.0,0.0,770.0,2522.042950108207,80088.14160194347,563780.8418043518,4.200078,4.200078,2.115483852889501,3172.7985129943345,0.9653858377659009,101586.39925649717
385.7142857142857,560.0,400.0,280.0,280.0,0.0,760.0,2702.064363431749,80020.85369482897,563319.2482052642,4.200078,4.200078,2.115483852889501,3121.7318540463275,0.9481981269513902,101560.86592702317
411.42857142857144,580.0,420.0,290.0,290.0,0.0,750.0,2882.0839323893797,79954.65833366527,562865.6986312926,4.200078,4.200078,2.115483852889501,3070.6425765251474,0.9310311832990813,101535.32128826257
437.14285714285717,600.0,420.0,300.0,300.0,0.0,750.0,3062.1019044572167,79889.57083730948,562421.9171516501,4.200078,4.200078,2.115483852889501,3019.529747748805,0.9138846308379992,101509.76487387442
462.8571428571429,600.0,420.0,300.0,300.0,0.0,750.0,3242.1184828974087,79825.454368462,561985.5960114152,4.200078,4.200078,2.115483852889501,2968.392381968203,0.8967580935356663,101484.1961909841
488.5714285714286,640.0,440.0,320.0,320.0,0.0,740.0,3422.1338364587923,79762.41726918964,561559.5823520534,4.200078,4.200078,2.115483852889501,2917.2294364585487,0.8796511952942417,101458.61471822928
514.2857142857143,640.0,460.0,320.0,320.0,0.0,730.0,3602.148106587989,79700.5351752929,561141.1963429978,4.200078,4.200078,2.115483852889501,2866.039807252889,0.8625635599462516,101433.01990362644
540.0,660.0,460.0,330.0,330.0,0.0,730.0,3782.161412874645,79639.81144782976,560732.0287517246,4.200078,4.200078,2.115483852889501,2814.822324478171,0.8454948112498837,101407.41116223909
565.7142857142858,680.0,460.0,340.0,340.0,0.0,730.0,3962.173857221536,79580.07489885038,560331.4991537557,4.200078,4.200078,2.115483852889501,2763.575747249027,0.8284445728838284,101381.78787362452
591.4285714285714,680.0,480.0,340.0,340.0,0.0,720.0,4142.185527079026,79521.46014135836,559939.1136816008,4.200078,4.200078,2.115483852889501,2712.2987580685217,0.8114124684416174,101356.14937903425
617.1428571428571,700.0,500.0,350.0,350.0,0.0,710.0,4322.196497982873,79464.03514989195,559556.3373891511,4.200078,4.200078,2.115483852889501,2660.9899566781673,0.7943981214254247,101330.49497833908
642.8571428571429,720.0,500.0,360.0,360.0,0.0,710.0,4502.206835566487,79407.67856078772,559181.4679048309,4.200078,4.200078,2.115483852889501,2609.647853291572,0.7774011552392711,101304.8239266458
668.5714285714286,720.0,500.0,360.0,360.0,0.0,710.0,4682.216597171898,79352.39681525607,558815.638034268,4.200078,4.200078,2.115483852889501,2558.2708611366634,0.7604211931815726,101279.13543056833
694.2857142857143,740.0,520.0,370.0,370.0,0.0,700.0,4862.2258331509,79298.32446175099,558458.5276260437,4.200078,4.200078,2.115483852889501,2506.857288220748,0.7434578584369594,101253.42864411039
720.0,760.0,540.0,380.0,380.0,0.0,690.0,5042.234587924587,79245.31699763979,558109.4257761991,4.200078,4.200078,2.115483852889501,2455.405328219855,0.7265107740672828,101227.70266410994
745.7142857142858,760.0,540.0,380.0,380.0,0.0,690.0,5222.242900852645,79193.42284555946,557769.928538402,4.200078,4.200078,2.115483852889501,2403.9130503790284,0.7095795630017172,101201.95652518951
771.4285714285714,760.0,540.0,380.0,380.0,0.0,690.0,5402.2508069515925,79142.74681288555,557438.5712576606,4.200078,4.200078,2.115483852889501,2352.3783882927687,0.6926638480258455,101176.18919414638
797.1428571428572,800.0,560.0,400.0,400.0,0.0,680.0,5582.258337492083,79093.08356456395,557115.6911026188,4.200078,4.200078,2.115483852889501,2300.7991274140745,0.6757632517696046,101150.39956370703
822.8571428571429,800.0,580.0,400.0,400.0,0.0,670.0,5762.265520498663,79044.61648750902,556801.9946151911,4.200078,4.200078,2.115483852889501,2249.1728911162127,0.6588773966939462,101124.5864455581
848.5714285714286,800.0,580.0,400.0,400.0,0.0,670.0,5942.272381170296,78997.30562371458,556496.4554933839,4.200078,4.200078,2.115483852889501,2197.4971251021275,0.6420059050760455,101098.74856255107
874.2857142857143,840.0,580.0,420.0,420.0,0.0,670.0,6122.2789422361075,78951.05998443064,556199.7579721195,4.200078,4.200078,2.115483852889501,2145.769079921682,0.6251483989928648,101072.88453996084
900.0,840.0,580.0,420.0,420.0,0.0,670.0,6302.285224257833,78906.04579135148,555911.8726757673,4.200078,4.200078,2.115483852889501,2093.98579131523,0.6083045003028499,101046.99289565762
925.7142857142858,840.0,600.0,420.0,420.0,0.0,660.0,6482.2912458881765,78862.080997684,555632.2095085853,4.200078,4.200078,2.115483852889501,2042.144058051766,0.5914738306254919,101021.07202902588
951.4285714285714,840.0,620.0,420.0,420.0,0.0,650.0,6662.297024092474,78819.31233727164,555361.6552796018,4.200078,4.200078,2.115483852889501,1990.2404168691114,0.5746560113184561,100995.12020843456
977.1428571428572,880.0,620.0,440.0,440.0,0.0,650.0,6842.302574339687,78777.68583321627,555099.6463888932,4.200078,4.200078,2.115483852889501,1938.271114049581,0.557850663451912,100969.13555702478
1002.8571428571429,880.0,620.0,440.0,440.0,0.0,650.0,7022.30791076761,78737.17438830303,554845.9209626878,4.200078,4.200078,2.115483852889501,1886.2320730741862,0.5410574077796418,100943.11603653709
1028.5714285714287,880.0,620.0,440.0,440.0,0.0,650.0,7202.313046326323,78697.88303128227,554601.519887527,4.200078,4.200078,2.115483852889501,1834.1188576872175,0.524275864706426,100917.05942884361
1054.2857142857142,920.0,630.0,460.0,460.0,0.0,640.0,7382.317992903187,78659.64054413442,554365.4625069483,4.200078,4.200078,2.115483852889501,1781.926629565487,0.5075056542511059,100890.96331478273
1080.0,920.0,640.0,460.0,460.0,0.0,640.0,7562.322761432135,78622.6339557478,554137.9660734114,4.200078,4.200078,2.115483852889501,1729.6500996155185,0.49074639600460795,100864.82504980777
1105.7142857142858,920.0,660.0,460.0,460.0,0.0,630.0,7742.327361989537,78586.72123411001,553919.5591694731,4.200078,4.200078,2.115483852889501,1677.2834717075764,0.473997709082064,100838.64173585379
1131.4285714285716,920.0,660.0,460.0,460.0,0.0,630.0,7922.331803878548,78551.99979283333,553709.5479214268,4.200078,4.200078,2.115483852889501,1624.8203773852615,0.457259212067989,100812.41018869262
1157.142857142857,960.0,660.0,480.0,480.0,0.0,630.0,8102.336095703529,78518.42868543294,553508.378553902,4.200078,4.200078,2.115483852889501,1572.253799745961,0.4405305229532411,100786.12689987298
1182.857142857143,960.0,660.0,480.0,480.0,0.0,630.0,8282.340245435915,78486.00296249808,553316.0725186726,4.200078,4.200078,2.115483852889501,1519.5759842477084,0.4238112590622089,100759.78799212386
1208.5714285714287,960.0,680.0,480.0,480.0,0.0,620.0,8462.344260472646,78454.7770242616,553132.2329224938,4.200078,4.200078,2.115483852889501,1466.778333629961,0.40710103696829825,100733.38916681499
1234.2857142857142,960.0,700.0,480.0,480.0,0.0,610.0,8642.34814768815,78424.65788635086,552957.5301806543,4.200078,4.200078,2.115483852889501,1413.8512833954114,0.39039947239532763,100706.92564169772
1260.0,1000.0,700.0,500.0,500.0,0.0,610.0,8822.351913480688,78395.76740868077,552791.4827073826,4.200078,4.200078,2.115483852889501,1360.7841533252606,0.3737061801018245,100680.39207666263
1285.7142857142858,1000.0,700.0,500.0,500.0,0.0,610.0,9002.35556381379,78367.98139313415,552634.1519787519,4.200078,4.200078,2.115483852889501,1307.5649692036939,0.35702077374441554,100653.78248460186
1311.4285714285716,1000.0,700.0,500.0,500.0,0.0,610.0,9182.359104253355,78341.41180795665,552485.9557977485,4.200078,4.200078,2.115483852889501,1254.1802471821638,0.34034286571544486,100627.09012359107
1337.142857142857,1000.0,700.0,500.0,500.0,0.0,610.0,9362.362540000977,78315.99329868607,552346.38542607,4.200078,4.200078,2.115483852889501,1200.614730836005,0.32367206694852196,100600.30736541802
1362.857142857143,1020.0,720.0,510.0,510.0,0.0,600.0,9542.365875923904,78291.75718439634,552215.951445423,4.200078,4.200078,2.115483852889501,1146.8510676807014,0.30700798668376145,100573.42553384036
1388.5714285714287,1040.0,740.0,520.0,520.0,0.0,590.0,9722.369116582067,78268.71728117,552094.4123909383,4.200078,4.200078,2.115483852889501,1092.8694073088043,0.2903502321817959,100546.43470365439
1414.2857142857144,1040.0,740.0,520.0,520.0,0.0,590.0,9902.37226625247,78246.82913169642,551981.8277974097,4.200078,4.200078,2.115483852889501,1038.6468967425837,0.2736984083718677,100519.32344837129
1440.0,1040.0,740.0,520.0,520.0,0.0,590.0,10082.375328951268,78226.16788762737,551878.4731898124,4.200078,4.200078,2.115483852889501,984.15703906746,0.2570521174139255,100492.07851953372
1465.7142857142858,1040.0,740.0,520.0,520.0,0.0,590.0,10262.378308453779,78206.65933471674,551784.0286811171,4.200078,4.200078,2.115483852889501,929.3688672972166,0.24041095814678282,100464.68443364861
1491.4285714285716,1080.0,740.0,540.0,540.0,0.0,590.0,10442.38120831265,78188.3701606977,551699.0759021736,4.200078,4.200078,2.115483852889501,874.2458640440824,0.22377452538302706,100437.12293202206
1517.142857142857,1080.0,760.0,540.0,540.0,0.0,580.0,10622.384031874382,78171.28802102423,551623.1664702336,4.200078,4.200078,2.115483852889501,818.7445377927222,0.2071424130143664,100409.37226889636
1542.857142857143,1060.0,780.0,540.0,520.0,0.0,570.0,10802.386782294388,78155.39601668426,551443.9151506913,4.200078,4.200078,2.115483852889501,762.8193039451298,0.19051623894535885,100381.40965197257
1568.5714285714287,880.0,650.0,540.0,340.0,0.0,570.0,10982.389462550718,78140.76771141546,548700.840599973,4.200078,4.200078,2.115483852889501,706.6341073770246,0.173962517100546,100353.31705368852
1594.2857142857144,720.0,470.0,550.0,170.0,0.0,570.0,11162.392075456613,78127.44168433765,543774.5846708352,4.200078,4.200078,2.115483852889501,650.8506353956892,0.15769395593186158,100325.42531769785
1620.0,560.0,390.0,560.0,0.0,0.0,470.0,11342.394623671984,78115.38073669946,542446.6641270834,4.200078,4.200078,2.115483852889501,595.135666233634,0.14163233119755708,100297.56783311682
1645.7142857142858,560.0,390.0,560.0,0.0,0.0,290.0,11522.39710971394,78104.54918761048,542377.2346579497,4.200078,4.200078,2.115483852889501,538.7865453469768,0.12560375568315982,100269.3932726735
1671.4285714285716,560.0,390.0,560.0,0.0,0.0,110.0,11702.399535966435,78094.94685319591,541160.9747074136,4.200078,4.200078,2.115483852889501,481.6018520290223,0.10959281290218757,100240.80092601452
1697.142857142857,410.0,320.0,410.0,0.0,0.0,0.0,11882.401904689146,78086.72124869972,499774.4887684262,4.200078,4.200078,2.115483852889501,426.4362610730653,0.09443065904634051,100213.21813053652
