x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
5.0,5.0,1.0,1.5457587411661594e-121,8.528302935846752e-187,1.7909436165278178e-187,1.5457587411661594e-121
15.0,15.0,1.0,1.1365143441758719e-120,6.752115408093869e-186,1.4179442356997124e-186,1.1365143441758719e-120
25.0,25.0,1.0,6.76220583487151e-120,4.511265068843625e-185,9.473656644571613e-186,6.76220583487151e-120
35.0,35.0,1.0,3.6407697417316144e-119,2.824693090679183e-184,5.931855490426284e-185,3.6407697417316144e-119
45.0,45.0,1.0,1.846768939808221e-118,1.7161207899786227e-183,3.603853658955108e-184,1.846768939808221e-118
55.0,55.0,1.0,8.996877786398777e-118,1.0261086980240038e-182,2.154828265850408e-183,8.996877786398777e-118
65.0,65.0,1.0,4.2546582384661774e-117,6.076576665012239e-182,1.2760810996525702e-182,4.2546582384661774e-117
75.0,75.0,1.0,1.965950661787301e-116,3.574561220093209e-181,7.506578562195739e-182,1.965950661787301e-116
85.0,85.0,1.0,8.914242859057793e-116,2.091653169192478e-180,4.3924716553042036e-181,8.914242859057793e-116
95.0,95.0,1.0,3.978278868269029e-115,1.2182846374710513e-179,2.5583977386892076e-180,3.978278868269029e-115
105.0,105.0,1.0,1.751214474360905e-114,7.06543039458309e-179,1.4837403828624489e-179,1.751214474360905e-114
115.0,115.0,1.0,7.615760038707997e-114,4.080616831642301e-178,8.569295346448832e-179,7.615760038707997e-114
125.0,125.0,1.0,3.276045704086143e-113,2.3471580644930633e-177,4.929031935435433e-178,3.276045704086143e-113
135.0,135.0,1.0,1.3952962870073867e-112,1.3446322685309673e-176,2.8237277639150314e-177,1.3952962870073867e-112
145.0,145.0,1.0,5.888370364969237e-112,7.672143668621614e-176,1.611150170410539e-176,5.888370364969237e-112
155.0,155.0,1.0,2.4637988600924787e-111,4.359989133085304e-175,9.155977179479138e-176,2.4637988600924787e-111
165.0,165.0,1.0,1.0226287455168913e-110,2.4678069817409574e-174,5.18239466165601e-175,1.0226287455168913e-110
175.0,175.0,1.0,4.2122801114883674e-110,1.391216747644428e-173,2.921555170053299e-174,4.2122801114883674e-110
185.0,185.0,1.0,1.7224932921198598e-109,7.811537593268397e-173,1.6404228945863634e-173,1.7224932921198598e-109
195.0,195.0,1.0,6.994715021675778e-109,4.368541507596826e-172,9.173937165953334e-173,6.994715021675778e-109
205.0,205.0,1.0,2.8214148067643206e-108,2.433294103708897e-171,5.1099176177886835e-172,2.8214148067643206e-108
215.0,215.0,1.0,1.1306940241631744e-107,1.3499288537074685e-170,2.8348505927856836e-171,1.1306940241631744e-107
225.0,225.0,1.0,4.5028614127504533e-107,7.459079134074953e-170,1.5664066181557401e-170,4.5028614127504533e-107
235.0,235.0,1.0,1.782259340250707e-106,4.105041158594553e-169,8.620586433048561e-170,1.782259340250707e-106
245.0,245.0,1.0,7.012238630126701e-106,2.25013040434324e-168,4.7252738491208036e-169,7.012238630126701e-106
255.0,255.0,1.0,2.742856461974125e-105,1.2284447640311788e-167,2.5797340044654754e-168,2.742856461974125e-105
265.0,265.0,1.0,1.0667455568966888e-104,6.679766091558841e-167,1.4027508792273565e-167,1.0667455568966888e-104
275.0,275.0,1.0,4.125487504768669e-104,3.617632565408849e-166,7.597028387358582e-167,4.125487504768669e-104
285.0,285.0,1.0,1.5866713733587415e-103,1.9513947660758233e-165,4.097929008759229e-166,1.5866713733587415e-103
295.0,295.0,1.0,6.069214846206241e-103,1.0483908046662204e-164,2.2016206897990628e-165,6.069214846206241e-103
305.0,305.0,1.0,2.3091112222121296e-102,5.609944460737128e-164,1.178088336754797e-164,2.3091112222121296e-102
315.0,315.0,1.0,8.738842573884289e-102,2.989861823111834e-163,6.278709828534851e-164,8.738842573884289e-102
325.0,325.0,1.0,3.289931814975158e-101,1.5870871627816921e-162,3.332883041841553e-163,3.289931814975158e-101
335.0,335.0,1.0,1.232164232304088e-100,8.39087890156345e-162,1.7620845693283245e-162,1.232164232304088e-100
345.0,345.0,1.0,4.591152337652979e-100,4.418461253270733e-161,9.27876863186854e-162,4.591152337652979e-100
355.0,355.0,1.0,1.7020292509920683e-99,2.3173492002055166e-160,4.866433320431585e-161,1.7020292509920683e-99
365.0,365.0,1.0,6.278034224080357e-99,1.210510775327839e-159,2.5420726281884616e-160,6.278034224080357e-99
375.0,375.0,1.0,2.3041424052682276e-98,6.29799767565714e-159,1.3225795118879996e-159,2.3041424052682276e-98
385.0,385.0,1.0,8.414730809808619e-98,3.2635698013746176e-158,6.853496582886697e-159,8.414730809808619e-98
395.0,395.0,1.0,3.057957877878089e-97,1.6843789478353385e-157,3.537195790454211e-158,3.057957877878089e-97
405.0,405.0,1.0,1.1058523183363897e-96,8.65850893991987e-157,1.8182868773831726e-157,1.1058523183363897e-96
415.0,415.0,1.0,3.979698283595979e-96,4.4330511137722155e-156,9.309407338921653e-157,3.979698283595979e-96
425.0,425.0,1.0,1.425288145354518e-95,2.2605733927593076e-155,4.747204124794545e-156,1.425288145354518e-95
435.0,435.0,1.0,5.0800271030019374e-95,1.1481288998687798e-154,2.4110706897244375e-155,5.0800271030019374e-95
445.0,445.0,1.0,1.8019834694947913e-94,5.807895219502416e-154,1.2196579960955072e-154,1.8019834694947913e-94
455.0,455.0,1.0,6.36160805493006e-94,2.926192591850993e-153,6.145004442887085e-154,6.36160805493006e-94
465.0,465.0,1.0,2.235237367061274e-93,1.468395264348758e-152,3.0836300551323916e-153,2.235237367061274e-93
475.0,475.0,1.0,7.816813803383108e-93,7.339034090195953e-152,1.54119715894115e-152,7.816813803383108e-93
485.0,485.0,1.0,2.7207804025904498e-92,3.6533444718965907e-151,7.67202339098284e-152,2.7207804025904498e-92
495.0,495.0,1.0,9.425894524377041e-92,1.8113320004072639e-150,3.803797200855254e-151,9.425894524377041e-92
505.0,505.0,1.0,3.250306702250661e-91,8.944604538789238e-150,1.8783669531457399e-150,3.250306702250661e-91
515.0,515.0,1.0,1.1155928313528506e-90,4.399261810833034e-149,9.238449802749372e-150,1.1155928313528506e-90
525.0,525.0,1.0,3.811300938789545e-90,2.1550333061440588e-148,4.525569942902523e-149,3.811300938789545e-90
535.0,535.0,1.0,1.296083955639484e-89,1.0514378643611267e-147,2.208019515158366e-148,1.296083955639484e-89
545.0,545.0,1.0,4.3872389324592546e-89,5.109384939457462e-147,1.072970837286067e-147,4.3872389324592546e-89
555.0,555.0,1.0,1.4782684265874505e-88,2.4729136778255508e-146,5.193118723433656e-147,1.4782684265874505e-88
565.0,565.0,1.0,4.9582053177738893e-88,1.1920776664653103e-145,2.5033630995771514e-146,4.9582053177738893e-88
575.0,575.0,1.0,1.6554267997744457e-87,5.7234164715253204e-145,1.2019174590203172e-145,1.6554267997744457e-87
585.0,585.0,1.0,5.50192377424107e-87,2.736914884767358e-144,5.747521258011452e-145,5.50192377424107e-87
595.0,595.0,1.0,1.8202996862249167e-86,1.3035338787547778e-143,2.7374211453850333e-144,1.8202996862249167e-86
605.0,605.0,1.0,5.995140677161575e-86,6.183557289989144e-143,1.2985470308977202e-143,5.995140677161575e-86
615.0,615.0,1.0,1.9655688165979074e-85,2.9215238517761615e-142,6.135200088729939e-143,1.9655688165979074e-85
625.0,625.0,1.0,6.41524984062165e-85,1.3747869913056213e-141,2.8870526817418047e-142,6.41524984062165e-85
635.0,635.0,1.0,2.0843911995034643e-84,6.443417500671451e-141,1.3531176751410048e-141,2.0843911995034643e-84
645.0,645.0,1.0,6.742003244688513e-84,3.0078208330898666e-140,6.31642374948872e-141,6.742003244688513e-84
655.0,655.0,1.0,2.1709326160599547e-83,1.3984354985327045e-139,2.9367145469186793e-140,2.1709326160599547e-83
665.0,665.0,1.0,6.959128315610062e-83,6.475713965559173e-139,1.3598999327674263e-139,6.959128315610062e-83
675.0,675.0,1.0,2.2208426381394257e-82,2.986672294459465e-138,6.272011818364876e-139,2.2208426381394257e-82
685.0,685.0,1.0,7.055671940460009e-82,1.3719621980564593e-137,2.881120615918564e-138,7.055671940460009e-82
695.0,695.0,1.0,2.231617298551314e-81,6.276988511989685e-137,1.3181675875178336e-137,2.231617298551314e-81
705.0,705.0,1.0,7.026916568521416e-81,2.8603231461010943e-136,6.006678606812298e-137,7.026916568521416e-81
715.0,715.0,1.0,2.2028072976407615e-80,1.298175500573608e-135,2.7261685512045767e-136,2.2028072976407615e-80
725.0,725.0,1.0,6.87476168883307e-80,5.868217792185065e-135,1.2323257363588635e-135,6.87476168883307e-80
