x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
5.0,5.0,1.0,4.879124633154e-310,0.0,0.0,4.879124633154e-310
15.0,15.0,1.0,3.604191340067686e-309,0.0,0.0,3.604191340067686e-309
25.0,25.0,1.0,2.1608704924168396e-308,0.0,0.0,2.1608704924168396e-308
35.0,35.0,1.0,1.1756038629405277e-307,0.0,0.0,1.1756038629405277e-307
45.0,45.0,1.0,6.042466955167553e-307,0.0,0.0,6.042466955167553e-307
55.0,55.0,1.0,2.991086777936808e-306,0.0,0.0,2.991086777936808e-306
65.0,65.0,1.0,1.4412410641723544e-305,0.0,0.0,1.4412410641723544e-305
75.0,75.0,1.0,6.804205500686048e-305,0.0,0.0,6.804205500686048e-305
85.0,85.0,1.0,3.1609639806817077e-304,0.0,0.0,3.1609639806817077e-304
95.0,95.0,1.0,1.449297583956041e-303,0.0,0.0,1.449297583956041e-303
105.0,105.0,1.0,6.572424826595999e-303,0.0,0.0,6.572424826595999e-303
115.0,115.0,1.0,2.952704256783624e-302,0.0,0.0,2.952704256783624e-302
125.0,125.0,1.0,1.3157499238548153e-301,0.0,0.0,1.3157499238548153e-301
135.0,135.0,1.0,5.82106829173026e-301,0.0,0.0,5.82106829173026e-301
145.0,145.0,1.0,2.5588230513195345e-300,0.0,0.0,2.5588230513195345e-300
155.0,155.0,1.0,1.1182918955382542e-299,0.0,0.0,1.1182918955382542e-299
165.0,165.0,1.0,4.86148015419022e-299,0.0,0.0,4.86148015419022e-299
175.0,175.0,1.0,2.1031199969663115e-298,0.0,0.0,2.1031199969663115e-298
185.0,185.0,1.0,9.057247292156625e-298,0.0,0.0,9.057247292156625e-298
195.0,195.0,1.0,3.884150678681961e-297,0.0,0.0,3.884150678681961e-297
205.0,205.0,1.0,1.6591120356221634e-296,0.0,0.0,1.6591120356221634e-296
215.0,215.0,1.0,7.060441444728149e-296,0.0,0.0,7.060441444728149e-296
225.0,225.0,1.0,2.993977042402724e-295,0.0,0.0,2.993977042402724e-295
235.0,235.0,1.0,1.2653157979811315e-294,0.0,0.0,1.2653157979811315e-294
245.0,245.0,1.0,5.3302521882436006e-294,0.0,0.0,5.3302521882436006e-294
255.0,255.0,1.0,2.2384734768928665e-293,0.0,0.0,2.2384734768928665e-293
265.0,265.0,1.0,9.372644470785782e-293,0.0,0.0,9.372644470785782e-293
275.0,275.0,1.0,3.9131229296481213e-292,0.0,0.0,3.9131229296481213e-292
285.0,285.0,1.0,1.6292077055101762e-291,0.0,0.0,1.6292077055101762e-291
295.0,295.0,1.0,6.76483832751176e-291,0.0,0.0,6.76483832751176e-291
305.0,305.0,1.0,2.8015555177311134e-290,0.0,0.0,2.8015555177311134e-290
315.0,315.0,1.0,1.1572618438615077e-289,0.0,0.0,1.1572618438615077e-289
325.0,325.0,1.0,4.76849849360165e-289,0.0,0.0,4.76849849360165e-289
335.0,335.0,1.0,1.960080493620875e-288,0.0,0.0,1.960080493620875e-288
345.0,345.0,1.0,8.037683654552232e-288,0.0,0.0,8.037683654552232e-288
355.0,355.0,1.0,3.288313965473455e-287,0.0,0.0,3.288313965473455e-287
365.0,365.0,1.0,1.3422083874200694e-286,0.0,0.0,1.3422083874200694e-286
375.0,375.0,1.0,5.466235774707546e-286,0.0,0.0,5.466235774707546e-286
385.0,385.0,1.0,2.2212354761046634e-285,0.0,0.0,2.2212354761046634e-285
395.0,395.0,1.0,9.006448045222875e-285,0.0,0.0,9.006448045222875e-285
405.0,405.0,1.0,3.644005170813796e-284,0.0,0.0,3.644005170813796e-284
415.0,415.0,1.0,1.4712406148241428e-283,0.0,0.0,1.4712406148241428e-283
425.0,425.0,1.0,5.927609828233166e-283,0.0,0.0,5.927609828233166e-283
435.0,435.0,1.0,2.38329488450776e-282,0.0,0.0,2.38329488450776e-282
445.0,445.0,1.0,9.562876833911453e-282,0.0,0.0,9.562876833911453e-282
455.0,455.0,1.0,3.82931964359006e-281,0.0,0.0,3.82931964359006e-281
465.0,465.0,1.0,1.5303331977952125e-280,0.0,0.0,1.5303331977952125e-280
475.0,475.0,1.0,6.103657868206639e-280,0.0,0.0,6.103657868206639e-280
485.0,485.0,1.0,2.4296410992419093e-279,0.0,0.0,2.4296410992419093e-279
495.0,495.0,1.0,9.652711144909252e-279,0.0,0.0,9.652711144909252e-279
505.0,505.0,1.0,3.827531515297235e-278,0.0,0.0,3.827531515297235e-278
515.0,515.0,1.0,1.5148064737943663e-277,0.0,0.0,1.5148064737943663e-277
525.0,525.0,1.0,5.983712206243111e-277,0.0,0.0,5.983712206243111e-277
535.0,535.0,1.0,2.359203031526497e-276,0.0,0.0,2.359203031526497e-276
545.0,545.0,1.0,9.28424510951647e-276,0.0,0.0,9.28424510951647e-276
555.0,555.0,1.0,3.6468661372506216e-275,0.0,0.0,3.6468661372506216e-275
565.0,565.0,1.0,1.429848414656679e-274,0.0,0.0,1.429848414656679e-274
575.0,575.0,1.0,5.595795986068185e-274,0.0,0.0,5.595795986068185e-274
585.0,585.0,1.0,2.1859486236423557e-273,0.0,0.0,2.1859486236423557e-273
595.0,595.0,1.0,8.52370700042024e-273,0.0,0.0,8.52370700042024e-273
605.0,605.0,1.0,3.317658101195784e-272,0.0,0.0,3.317658101195784e-272
615.0,615.0,1.0,1.289000748749718e-271,0.0,0.0,1.289000748749718e-271
625.0,625.0,1.0,4.999157566000885e-271,0.0,0.0,4.999157566000885e-271
635.0,635.0,1.0,1.9353793831556015e-270,0.0,0.0,1.9353793831556015e-270
645.0,645.0,1.0,7.479358977489635e-270,0.0,0.0,7.479358977489635e-270
655.0,655.0,1.0,2.8853256002313787e-269,0.0,0.0,2.8853256002313787e-269
665.0,665.0,1.0,1.1111188648466148e-268,0.0,0.0,1.1111188648466148e-268
675.0,675.0,1.0,4.271342307712143e-268,0.0,0.0,4.271342307712143e-268
685.0,685.0,1.0,1.6391141286549906e-267,0.0,0.0,1.6391141286549906e-267
695.0,695.0,1.0,6.27910357433372e-267,0.0,0.0,6.27910357433372e-267
705.0,705.0,1.0,2.4012219256554766e-266,0.0,0.0,2.4012219256554766e-266
715.0,715.0,1.0,9.16675472780667e-266,1.5e-323,5e-324,9.16675472780667e-266
725.0,725.0,1.0,3.4934130332689693e-265,7e-323,1.5e-323,3.4934130332689693e-265
735.0,735.0,1.0,1.3290384221487537e-264,3.3e-322,7e-323,1.3290384221487537e-264
745.0,745.0,1.0,5.047549460191603e-264,1.44e-321,3e-322,5.047549460191603e-264
755.0,755.0,1.0,1.913732191362942e-263,6.2e-321,1.304e-321,1.913732191362942e-263
765.0,765.0,1.0,7.243380150663579e-263,2.666e-320,5.6e-321,7.243380150663579e-263
